State,FileID,PromptID,DocID,Temp,ThreadID,HeadScore,ExScoreP,ExScoreR,ExScoreF1,UT,UT1,UT2
S,4,1,0,0.4,thread_bDD2HigjovPp0zfTdkv65Eco,1.0,0.011,-0.049,-0.018,1.000,1.000,1.000
S,4,1,0,0.4,thread_FWquGpIdrri9IP4yQ6ypOTAb,1.0,0.003,-0.052,-0.023,1.000,1.000,1.000
S,4,1,0,0.4,thread_vnEE2NY2idefTPG9XvGyzW5W,0.0,-0.040,-0.014,-0.026,0.000,0.000,0.000
S,4,1,0,0.4,thread_dJPBZ8DOflCNthcuPcPqENRJ,1.0,0.009,-0.102,-0.046,1.000,1.000,1.000
S,4,1,0,0.4,thread_exzOYyXIHaOxysTGTbPS2MHm,1.0,-0.007,-0.146,-0.076,1.000,1.000,1.000
S,4,1,0,0.4,thread_YuRy92KFGdiLz6MYmSeCEVxS,1.0,0.024,-0.075,-0.024,1.000,1.000,1.000
S,4,1,0,0.4,thread_g3Zw77w99FNCyT8Gz3I2lAxt,1.0,0.011,-0.036,-0.011,1.000,1.000,1.000
S,5,1,0,0.4,thread_aabnKaKBN2cT6bffooyVbUPR,0.0,-0.071,-0.199,-0.134,0.000,0.000,0.000
S,5,1,0,0.4,thread_HZvTs1ahGfQ6wu0gmZpEcrrv,0.0,-0.059,-0.089,-0.072,0.000,0.000,0.000
S,5,1,0,0.4,thread_oVPifia3Mhzc1sXstiz99naq,1.0,-0.001,-0.122,-0.060,1.000,1.000,1.000
S,5,1,0,0.4,thread_tAvqGFghilxFROChQv0wqD0N,0.0,-0.020,0.044,0.013,0.000,0.000,0.000
S,5,1,0,0.4,thread_09LYLZwrruPJt8XzUnzGrvyy,1.0,0.056,-0.138,-0.042,1.000,1.000,1.000
S,5,1,0,0.4,thread_CkzCVXDv9cSxwoFy31WetWt2,0.0,-0.077,-0.194,-0.134,0.000,0.000,0.000
S,5,1,0,0.4,thread_xEHQPZRgeIlXcuco7mJnLC8l,0.0,-0.330,-0.727,-0.535,0.000,0.000,0.000
S,5,1,0,0.4,thread_VhJUJcAz1jyIb7V9kzYakdc8,1.0,0.052,-0.252,-0.103,1.000,1.000,1.000
S,5,1,0,0.4,thread_7q9QfV3LsLk3dx3xX2PGvLrE,0.0,-0.028,-0.123,-0.074,0.000,0.000,0.000
S,5,1,0,0.4,thread_HzPEs3zimtgNcAyTGbaorrkF,0.0,-0.071,-0.199,-0.134,0.000,0.000,0.000
